acidez_fixa,acidez_volatil,acido_citrico,acucar_residual,cloretos,dioxido_enxofre_livre,dioxido_enxofre_total,densidade,ph,sulfitos,alcool
7.7,0.56,0.08,2.5,0.114,14.0,46.0,0.9971,3.24,0.66,9.6
7.8,0.5,0.17,1.6,0.082,21.0,102.0,0.996,3.39,0.48,9.5
9.674999999999999,0.67,0.22,2.7,0.107,17.0,34.0,0.9991374999999998,3.28,0.8625,9.9
8.5,0.46,0.31,2.25,0.078,32.0,58.0,0.998,3.33,0.54,9.8
6.7,0.46,0.24,1.7,0.077,18.0,34.0,0.9948,3.39,0.6,10.5
7.2,0.41,0.3,2.1,0.083,34.125,72.0,0.997,3.44,0.52,9.4
7.7,0.54,0.26,1.9,0.089,23.0,125.875,0.99636,3.26,0.59,9.7
7.0,0.78,0.08,2.0,0.093,10.0,19.0,0.9956,3.4,0.47,10.0
8.2,0.39,0.38,1.5,0.058,10.0,29.0,0.9962,3.26,0.74,9.8
5.8,0.61,0.11,1.8,0.066,18.0,28.0,0.99483,3.55,0.66,10.5
