iter	Passed	Remaining
0	163	16165
1	172	8461
2	181	5879
3	191	4597
4	200	3812
5	209	3282
6	217	2894
7	226	2606
8	234	2372
9	244	2196
10	253	2047
11	262	1927
12	272	1823
13	281	1731
14	292	1659
15	302	1590
16	312	1525
17	321	1465
18	330	1407
19	339	1357
20	347	1307
21	355	1261
22	363	1217
23	372	1179
24	381	1143
25	390	1110
26	398	1078
27	407	1047
28	415	1017
29	424	990
30	432	962
31	440	936
32	448	909
33	456	886
34	464	863
35	474	843
36	482	821
37	491	801
38	499	781
39	507	760
40	515	741
41	523	722
42	530	703
43	538	685
44	546	667
45	553	650
46	560	632
47	569	616
48	576	600
49	585	585
50	592	569
51	600	554
52	608	539
53	616	525
54	624	510
55	632	496
56	640	482
57	648	469
58	656	456
59	664	442
60	672	429
61	680	417
62	689	404
63	697	392
64	705	380
65	714	367
66	722	355
67	730	343
68	738	331
69	747	320
70	755	308
71	763	296
72	771	285
73	779	273
74	788	262
75	797	251
76	805	240
77	813	229
78	820	218
79	829	207
80	837	196
81	845	185
82	853	174
83	861	164
84	868	153
85	876	142
86	885	132
87	893	121
88	900	111
89	907	100
90	915	90
91	924	80
92	932	70
93	939	59
94	946	49
95	954	39
96	962	29
97	970	19
98	978	9
99	985	0
